#,,,"generated_by='OpenQuake engine 3.15.0-gite516637382', start_date='2022-08-04T17:05:27', checksum=2488195332, investigation_time=1.0, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0], lon_bin_edges=[2.5398271125312304, 2.805674853153627, 3.0715225937760238, 3.3373703343984205, 3.603218075020817, 3.869065815643214, 4.1349135562656105, 4.400761296888007, 4.666609037510404, 4.932456778132801, 5.198304518755197, 5.4641522593775935, 5.729999999999991, 5.995847740622388, 6.261695481244784, 6.52754322186718, 6.793390962489577, 7.059238703111974, 7.325086443734371, 7.590934184356768, 7.856781924979164, 8.122629665601561, 8.388477406223958, 8.654325146846354, 8.920172887468752], lat_bin_edges=[42.9417, 43.12905833333333, 43.31641666666666, 43.503775, 43.69113333333333, 43.87849166666666, 44.06585, 44.25320833333333, 44.44056666666667, 44.627925, 44.81528333333333, 45.00264166666667, 45.19, 45.37735833333333, 45.56471666666667, 45.752075, 45.939433333333334, 46.12679166666667, 46.31415, 46.501508333333334, 46.68886666666667, 46.876225000000005, 47.063583333333334, 47.25094166666667, 47.438300000000005], eps_bin_edges=[-3.0, -1.0, 1.0, 3.0], tectonic_region_types=['Stable Shallow Crust'], rlz_ids=[5], weights=[1.0], lon=5.72999999999999, lat=45.19"
imt,poe,dist,rlz5
SA(0.05),0.0002,1.45000E+02,0.00000E+00
SA(0.05),0.0002,1.55000E+02,0.00000E+00
SA(0.05),0.0002,1.65000E+02,0.00000E+00
SA(0.05),0.0002,1.75000E+02,0.00000E+00
SA(0.05),0.0002,1.85000E+02,0.00000E+00
SA(0.05),0.0002,1.95000E+02,0.00000E+00
SA(0.05),0.0002,2.05000E+02,0.00000E+00
SA(0.05),0.0002,2.15000E+02,0.00000E+00
SA(0.05),0.0002,2.25000E+02,0.00000E+00
SA(0.05),0.0002,2.35000E+02,0.00000E+00
SA(0.05),0.0002,2.45000E+02,0.00000E+00
SA(0.05),0.0001,5.00000E+00,4.82113E-05
SA(0.05),0.0001,1.50000E+01,4.60405E-05
SA(0.05),0.0001,2.50000E+01,5.55548E-06
SA(0.05),0.0001,3.50000E+01,6.37826E-07
SA(0.05),0.0001,4.50000E+01,7.10434E-09
SA(0.05),0.0001,5.50000E+01,0.00000E+00
SA(0.05),0.0001,6.50000E+01,0.00000E+00
SA(0.05),0.0001,7.50000E+01,0.00000E+00
SA(0.05),0.0001,8.50000E+01,0.00000E+00
SA(0.05),0.0001,9.50000E+01,0.00000E+00
SA(0.05),0.0001,1.05000E+02,0.00000E+00
SA(0.05),0.0001,1.15000E+02,0.00000E+00
SA(0.05),0.0001,1.25000E+02,0.00000E+00
SA(0.05),0.0001,1.35000E+02,0.00000E+00
SA(0.05),0.0001,1.45000E+02,0.00000E+00
SA(0.05),0.0001,1.55000E+02,0.00000E+00
SA(0.05),0.0001,1.65000E+02,0.00000E+00
SA(0.05),0.0001,1.75000E+02,0.00000E+00
SA(0.05),0.0001,1.85000E+02,0.00000E+00
SA(0.05),0.0001,1.95000E+02,0.00000E+00
SA(0.05),0.0001,2.05000E+02,0.00000E+00
SA(0.05),0.0001,2.15000E+02,0.00000E+00
SA(0.05),0.0001,2.25000E+02,0.00000E+00
SA(0.05),0.0001,2.35000E+02,0.00000E+00
SA(0.05),0.0001,2.45000E+02,0.00000E+00
SA(0.1),0.002105,5.00000E+00,2.03393E-04
SA(0.1),0.002105,1.50000E+01,1.04776E-03
SA(0.1),0.002105,2.50000E+01,4.80090E-04
SA(0.1),0.002105,3.50000E+01,2.24707E-04
SA(0.1),0.002105,4.50000E+01,1.17426E-04
SA(0.1),0.002105,5.50000E+01,2.42517E-05
SA(0.1),0.002105,6.50000E+01,1.06831E-05
SA(0.1),0.002105,7.50000E+01,4.30320E-06
SA(0.1),0.002105,8.50000E+01,1.41620E-06
SA(0.1),0.002105,9.50000E+01,5.93077E-07
SA(0.1),0.002105,1.05000E+02,2.29134E-07
SA(0.1),0.002105,1.15000E+02,5.28117E-08
SA(0.1),0.002105,1.25000E+02,1.37160E-08
SA(0.1),0.002105,1.35000E+02,0.00000E+00
SA(0.1),0.002105,1.45000E+02,0.00000E+00
SA(0.1),0.002105,1.55000E+02,0.00000E+00
SA(0.1),0.002105,1.65000E+02,0.00000E+00
SA(0.1),0.002105,1.75000E+02,0.00000E+00
SA(0.1),0.002105,1.85000E+02,0.00000E+00
SA(0.1),0.002105,1.95000E+02,0.00000E+00
SA(0.1),0.002105,2.05000E+02,0.00000E+00
SA(0.1),0.002105,2.15000E+02,0.00000E+00
SA(0.1),0.002105,2.25000E+02,0.00000E+00
SA(0.1),0.002105,2.35000E+02,0.00000E+00
SA(0.1),0.002105,2.45000E+02,0.00000E+00
SA(0.1),0.000404,5.00000E+00,1.11369E-04
SA(0.1),0.000404,1.50000E+01,2.20297E-04
SA(0.1),0.000404,2.50000E+01,5.46038E-05
SA(0.1),0.000404,3.50000E+01,1.55075E-05
SA(0.1),0.000404,4.50000E+01,4.04504E-06
SA(0.1),0.000404,5.50000E+01,3.54564E-07
SA(0.1),0.000404,6.50000E+01,2.99082E-08
SA(0.1),0.000404,7.50000E+01,7.72260E-11
SA(0.1),0.000404,8.50000E+01,0.00000E+00
SA(0.1),0.000404,9.50000E+01,0.00000E+00
SA(0.1),0.000404,1.05000E+02,0.00000E+00
SA(0.1),0.000404,1.15000E+02,0.00000E+00
SA(0.1),0.000404,1.25000E+02,0.00000E+00
SA(0.1),0.000404,1.35000E+02,0.00000E+00
SA(0.1),0.000404,1.45000E+02,0.00000E+00
SA(0.1),0.000404,1.55000E+02,0.00000E+00
SA(0.1),0.000404,1.65000E+02,0.00000E+00
SA(0.1),0.000404,1.75000E+02,0.00000E+00
SA(0.1),0.000404,1.85000E+02,0.00000E+00
SA(0.1),0.000404,1.95000E+02,0.00000E+00
SA(0.1),0.000404,2.05000E+02,0.00000E+00
SA(0.1),0.000404,2.15000E+02,0.00000E+00
SA(0.1),0.000404,2.25000E+02,0.00000E+00
SA(0.1),0.000404,2.35000E+02,0.00000E+00
SA(0.1),0.000404,2.45000E+02,0.00000E+00
SA(0.1),0.0002,5.00000E+00,7.62434E-05
SA(0.1),0.0002,1.50000E+01,1.01979E-04
SA(0.1),0.0002,2.50000E+01,1.84031E-05
SA(0.1),0.0002,3.50000E+01,3.80859E-06
SA(0.1),0.0002,4.50000E+01,4.78175E-07
SA(0.1),0.0002,5.50000E+01,5.91016E-09
SA(0.1),0.0002,6.50000E+01,0.00000E+00
SA(0.1),0.0002,7.50000E+01,0.00000E+00
SA(0.1),0.0002,8.50000E+01,0.00000E+00
SA(0.1),0.0002,9.50000E+01,0.00000E+00
SA(0.1),0.0002,1.05000E+02,0.00000E+00
SA(0.1),0.0002,1.15000E+02,0.00000E+00
SA(0.1),0.0002,1.25000E+02,0.00000E+00
SA(0.1),0.0002,1.35000E+02,0.00000E+00
SA(0.1),0.0002,1.45000E+02,0.00000E+00
SA(0.1),0.0002,1.55000E+02,0.00000E+00
SA(0.1),0.0002,1.65000E+02,0.00000E+00
SA(0.1),0.0002,1.75000E+02,0.00000E+00
SA(0.1),0.0002,1.85000E+02,0.00000E+00
SA(0.1),0.0002,1.95000E+02,0.00000E+00
SA(0.1),0.0002,2.05000E+02,0.00000E+00
SA(0.1),0.0002,2.15000E+02,0.00000E+00
SA(0.1),0.0002,2.25000E+02,0.00000E+00
SA(0.1),0.0002,2.35000E+02,0.00000E+00
SA(0.1),0.0002,2.45000E+02,0.00000E+00
SA(0.1),0.0001,5.00000E+00,4.93159E-05
SA(0.1),0.0001,1.50000E+01,4.49935E-05
SA(0.1),0.0001,2.50000E+01,5.50463E-06
SA(0.1),0.0001,3.50000E+01,6.28123E-07
SA(0.1),0.0001,4.50000E+01,5.78180E-09
SA(0.1),0.0001,5.50000E+01,0.00000E+00
SA(0.1),0.0001,6.50000E+01,0.00000E+00
SA(0.1),0.0001,7.50000E+01,0.00000E+00
SA(0.1),0.0001,8.50000E+01,0.00000E+00
SA(0.1),0.0001,9.50000E+01,0.00000E+00
SA(0.1),0.0001,1.05000E+02,0.00000E+00
SA(0.1),0.0001,1.15000E+02,0.00000E+00
SA(0.1),0.0001,1.25000E+02,0.00000E+00
SA(0.1),0.0001,1.35000E+02,0.00000E+00
SA(0.1),0.0001,1.45000E+02,0.00000E+00
SA(0.1),0.0001,1.55000E+02,0.00000E+00
SA(0.1),0.0001,1.65000E+02,0.00000E+00
SA(0.1),0.0001,1.75000E+02,0.00000E+00
SA(0.1),0.0001,1.85000E+02,0.00000E+00
SA(0.1),0.0001,1.95000E+02,0.00000E+00
